department,course_code,title,units,description
CY_PLAN,CY PLAN C88,Data Science for Smart Cities,2,"Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient, and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build"
CY_PLAN,CY PLAN 97,Field Studies in City and Regional Planning,1,Supervised experiences in the study of off-campus organizations relevant to specific aspects of city planning. Regular individual meetings with faculty sponsor and written report required.
CY_PLAN,CY PLAN 98,Special Group Study,1,Group studies developed to meet specific needs of students.
CY_PLAN,CY PLAN 101,Introduction to Urban Data Analytics,4,"This course (1) provides a basic intro to census and economic data collection, processing, and analysis; (2) surveys forecasting and modeling techniques in planning; (3) demonstrates the uses of real-time urban data and analytics; and (4) provides a socio-economic-political context for the smart cities movement, focusing on data ethics and governance."
CY_PLAN,CY PLAN 110,Introduction to City Planning,4,"Survey of city planning as it has evolved in the United States since 1800 in response to physical, social, and economic problems; major concepts and procedures used by city planners and local governments to improve the urban environment."
CY_PLAN,CY PLAN 113A,Economic Analysis for Planning,3,Introduction to economic concepts and thinking as used in planning. Micro-economic theory is reviewed and critiqued.
CY_PLAN,CY PLAN 114,Introduction to Urban and Regional Transportation,3,"This course is designed to introduce students to the characteristics of urban transportation systems, the methods through which they are planned and analyzed, and the dimensions of key policy issues confronting decision makers."
CY_PLAN,CY PLAN 115,Urbanization in Developing Countries,4,"The course covers issues of development and urbanization from the era of colonialism to the era of contemporary globalization. Themes include modernization, urban informality and poverty, transnational economies, and the role of international institutions and agencies."
CY_PLAN,CY PLAN N115,Urbanization in Developing Countries,3,"The course covers issues of development and urbanization from the era of colonialism to the era of contemporary globalization. Themes include modernization, urban informality and poverty, transnational economies, and the role of international institutions and agencies."
CY_PLAN,CY PLAN 116,Urban Planning Process--The Undergraduate Planning Studio,4,"An intermediate course in the planning process with practicum in using planning techniques. Classes typically work on developing an area or other community plan. Some lectures, extensive field and group work, oral and written presentations of findings."
CY_PLAN,CY PLAN 117AC,Urban & Community Health,3,"This course will focus on the history, research methods and practices aimed at promoting community and urban health. The course will offer students frameworks for understanding and addressing inequities in community health experienced by racial and ethnic groups in the United States. The course will take a historical and comparative perspective for understanding the multiple contributors to health and disease in communities and how residents"
CY_PLAN,CY PLAN C117,Urban and Community Health,3,"This course will focus on the history, research methods and practices aimed at promoting community and urban health. The course will offer students frameworks for understanding and addressing inequities in community health experienced by racial and ethnic groups in the United States. The course will take a historical and comparative perspective for understanding the multiple contributors to health and disease in communities and how residents, scientists and professionals"
CY_PLAN,CY PLAN 118AC,The Urban Community,4,"This course looks at the idea and practice of community in cities and suburbs and at the dynamics of neighborhood and community formation. Topics include urban social geography, ethnicity, and identity, residential choice behavior, the political economy of neighborhoods, planning for neighborhoods, and civic engagement. Instructors emphasize different topics. Class size limit depends on the instructor."
CY_PLAN,CY PLAN 119,Planning for Sustainability,4,"This course examines how the concept of sustainable development applies to cities and urban regions and gives students insight into a variety of contemporary urban planning issues through the sustainability lens. The course combines lectures, discussions, student projects, and guest appearances by leading practitioners in Bay Area sustainability efforts. Ways to coordinate goals of environment, economy, and equity"
CY_PLAN,CY PLAN 120,Community Planning and Public Policy for Disability,3,"This course reviews what society and local communities can do in terms of policies, programs, and local planning to address the needs of citizens with disabilities. Attention will be given to the economics of disability, to the politics of producing change, and to transportation, housing, public facilities, independent living, employment, and income policies. Options will be assessed from the varying perspectives of those with disabilities"
CY_PLAN,CY PLAN 124,Sustainable Mobility,3,"This course focuses on sustainable mobility, with an emphasis on the long-term importance of how land development can be leveraged to improve the efficiency and effectiveness of mobility options."
CY_PLAN,CY PLAN 130,"U.S. Housing, Planning, and Policy",3,"Introduction to housing policy in the United States, including housing affordability, the interaction between demand and supply, housing finance, zoning and land use, gentrification and displacement, and the role that housing plays in promoting household well-being."
CY_PLAN,CY PLAN C139,Urban and Sub-national Politics in Developing Countries,4,"Over half of the world's population is now urban. As urban populations swell, metropolitan areas in both the developed and the developing world struggle to provide basic services and address the negative externalities associated with rapid growth. Sanitation, transportation, pollution, energy services, and public safety typically fall to sub-national governments. Yet local sub-national institutions face difficulties as they tackle these challenges because"
CY_PLAN,CY PLAN 140,Urban Design: City-Building and Place-Making,3,"The course is concerned with the multidisciplinary field and practice of urban design. It includes a review of historical approaches to urban design and current movements in the field, as well as discussion of the elements of urban form, theories of good city form, scales of urban design, implementation approaches, and challenges and opportunities for the discipline. Learning from cities via fieldwork is an integral part of the course."
CY_PLAN,CY PLAN 160,The Origins and Practice of Community Development,4,"Community development, broadly defined as efforts to improve the quality of life in low-income communities, has existed in multiple forms for centuries. However, in the 1950s and 1960s, the United States witnessed the development of a professionalized field of community development, encompassing a wide range of institutions, policies, and programs. This course provides students with an overview of the origins of the community development"
CY_PLAN,CY PLAN 180A,Restorative Justice in Urban Planning and Policy: Towards Racial Healing & Justice in Planning,3,This course seeks to provide students with a theoretical framework of restorative justice in planning and policy through a variety of critical
CY_PLAN,CY PLAN 180B,Research Seminar in Urban Studies,3,"A capstone course for urban studies majors; open to other majors by instructor approval. Topical focus varies by semester. The course involves student production of a high-quality research report from inception to completion. Lectures introduce a range of research skills typical in urban studies, and cover specific domain knowledge necessary for the completion of the research project. Students identify a research topic subject to instructor approval"
CY_PLAN,CY PLAN 190,Advanced Topics in Urban Studies,1,Analysis of selected topics in urban studies. Topics vary by semester.
CY_PLAN,CY PLAN 197,Field Studies,1,Supervised experiences in the study of off-campus organizations relevant to specific aspects of city planning. Regular individual meetings with faculty sponsor and a written report are required.
CY_PLAN,CY PLAN 198,Special Group Study,1,Group studies developed to meet specific needs of students.
CY_PLAN,CY PLAN 199,Special Study for Advanced Undergraduates,1,Regular meetings with faculty overseer.
CY_PLAN,CY PLAN 200,"Planning Histories and Practice: Frameworks, Opportunities and Dilemmas",4,"A survey of key historical moments in the emergence of modern city planning, framed within the context of social equity and ethics. While the focus is on planning in the United States, the course also pays attention to global connections that exert influence on the theory and practice of planning in the US context."
CY_PLAN,CY PLAN 201A,Planning Methods Gateway: Part I,4,"This class introduces first-year students in the Master of City Planning (MCP) program to a suite of data collection, data analysis, problem solving, and presentation methods that are essential for practicing planners. It focuses on supporting integrated problem solving, using a case-based approach to introduce methods in sequenced building-blocks."
CY_PLAN,CY PLAN 201B,Planning Methods Gateway: Part II,4,"Second course in two-semester course sequence that introduces first-year students in the Master of City Planning (MCP) program to a suite of data collection, data analysis, problem solving, and presentation methods that are essential for practicing planners. 201B prepares MCP students for more advanced courses in statistics, GIS, observation, qualitative methods, survey methods, and public participation."
CY_PLAN,CY PLAN 204B,Qualitative Research Methods,4,The interest in qualitative research and especially in ethnography has been growing in the planning and design professions. This interest has not always been matched by in-
CY_PLAN,CY PLAN 204C,Analytic and Research Methods for Planners: Introduction to GIS and City Planning,4,"Introduction to the principles and practical uses of Geographic Information Systems (GIS). This course is intended for graduate students with exposure to using spreadsheets and database programs for urban and natural resource analysis, and who wish to expand their knowledge to include basic GIS concepts and applications. Prior GIS or desktop mapping experience not required."
CY_PLAN,CY PLAN 204D,Multivariate Analysis in Planning,3,"Theory and application of advanced multivariate methods in planning. Emphasis on causal modeling of cross-sectional data. Topics include: multiple regression analysis; residual analysis; weighted least squares; non-linear models; path analysis; log-linear models; logit and probit analysis; principal components; factor and cluster analysis. Completion of two computer assignments, using several microcomputer statistical packages, is requir"
CY_PLAN,CY PLAN 205,Introduction to Planning and Environmental Law,3,"An introduction to the American legal process and legal framework within which public policy and planning problems are addressed. The course stresses legal methodology, the basics of legal research, and the common-law decisional method. Statutory analysis, administrative law, and constitutional interpretation are also covered. Case topics focus on the law of planning, property rights, land use regulation, and access to housing."
CY_PLAN,CY PLAN 207,Land and Housing Market Economics,3,"Using microeconomics as its platform, course explores the process and pattern of land utilization from a variety of perspectives: the neighborhood, the city, and the metropolis. The approach blends real estate, descriptive urban geography, and urban history with economics."
CY_PLAN,CY PLAN 208,Plan Preparation Studio,5,"An introductory laboratory experience in urban plan preparation, including the use of graphic communication techniques appropriate to city planning and invoking individual effort and that of collaborative student groups in formulating planning policies and programs for an urban area. Occasional Friday meetings are required."
CY_PLAN,CY PLAN 208A,Virtual Collaborative Plan Preparation Studio,5,"This studio provides an intensive experience in urban plan preparation via virtual collaborative methods, including the use of graphic communication techniques appropriate to city planning and urban design, and involves individual effort and collaborative group effort to analyze an urban area and formulate planning policies, spatial designs, and programs for it that are responsive to existing contexts and community needs."
CY_PLAN,CY PLAN C213,Transportation and Land Use Planning,3,Examination of the interactions between transportation and land use systems; historical perspectives on transportation; characteristics of travel and demand estimation; evaluation of system performance; location theory; models of transportation and urban structure; empirical evidence of transportation-land use impacts; case study examinations.
CY_PLAN,CY PLAN 214,Infrastructure Planning and Policy: Climate Change Planning and Urban Systems,3,"This course introduces students to city planning and climate change. Its focuses on urban systems that are affected by climate change and that define urban vulnerability or resilience to climate change. For students interested in sustainable environmental design, the course situates design problems in a broader policy, regulatory, financial, and infrastructural context. We will cover topics such as green infrastructure, flood protection,"
CY_PLAN,CY PLAN C215,Global Urban Inequalities,3,"This course is animated by the question: what is global and urban about inequalities? It has two aims. First, it focuses on the historical-geographies of globalization and cities, and unpacks how cities are embedded within wider networks of capitalism. Second, it explores the many meanings and political projects around decolonizing the city, and looks at at unlearning, anti-imperialism, abolition, epistemic justice as concrete actions"
CY_PLAN,CY PLAN 216,Active Transportation,3,"Covers pedestrian and bicycle transportation planning including benefits of active transportation, importance of urban design and network connectivity, and facility design. Examines policies and programs to support active transportation and the processes to create, implement, and evaluate bicycle and pedestrian plans."
CY_PLAN,CY PLAN C217,Transportation Policy and Planning,3,"Policy issues in urban transportation planning; measuring the performance of transportation systems; the transportation policy formulation process; transportation finance, pricing, and subsidy issues; energy and air quality in transportation; specialized transportation for elderly and disabled people; innovations in transportation policy."
CY_PLAN,CY PLAN 218,Transportation Planning Studio,4,"Studio on applying skills of urban transportation planning. Topics vary, focusing on specific urban sites and multi-modal issues, including those related to planning for mass transit and other alternatives to the private automobile. Recent emphasis given to planning and designing for transit villages and transit-based housing."
CY_PLAN,CY PLAN 220,The Urban and Regional Economy,3,"Analysis of the urban, metropolitan, and regional economy for planning. Economic base and other macro models; impact analysis and projection of changing labor force and industrial structure; economic-demographic interaction; issues in growth, income distribution, planning controls; interregional growth and population distribution issues."
CY_PLAN,CY PLAN 228,Research Workshop on Metropolitan Regional Planning,4,Field problem in major phases of metropolitan or regional planning work. A collaborative student-group effort in formulating policy or plan recommendations within specific governmental framework.
CY_PLAN,CY PLAN 230,"U.S. Housing, Planning, and Policy",3,"This course engages with housing markets in the context of current and historic local, state, and federal policy and planning practice. Taking into account issues of equity and implications on climate, students will engage with emerging policy and market trends in housing affordability and supply."
CY_PLAN,CY PLAN 235,Affordable Housing Finance and Development,4,"Using case studies, this course acquaints students with the techniques of project feasibility; analysis of project proposals and overall project compatibility assessment. Case studies will be based on a variety of public and private sector developments, in central city and suburb locations."
CY_PLAN,CY PLAN 238,Development--Design Studio,5,"Studio experience in analysis, policy advising, and project design or general plan preparation for urban communities undergoing development, with a focus on site development and project planning."
CY_PLAN,CY PLAN C240,Theories of Urban Form and Design,3,"Theories and patterns of urban form throughout history are studied with emphasis on the role of planning and design in shaping cities and the relationship between urban form and social, economic, and geographic factors. Using a case study approach, cities are evaluated in terms of various theories and performance dimensions."
CY_PLAN,CY PLAN C241,Research Methods in Environmental Design,4,"The components, structure, and meaning of the urban environment. Environmental problems, attitudes, and criteria. Environmental survey, analysis, and interview techniques. Methods of addressing environmental quality. Environmental simulation."
CY_PLAN,CY PLAN C243,Shaping the Public Realm,5,"This interdisciplinary studio focuses on the public realm of cities and explores opportunities for creating more humane and delightful public places. Problems will be at multiple scales in both existing urban centers and in areas of new growth. Skills in analyzing, designing, and communicating urban design problems will be developed. Studio work will be supplemented with lectures, discussions, and field trips. Visiting professionals will present"
CY_PLAN,CY PLAN 248,Advanced Studio: Urban Design/Environmental Planning,5,"Advanced problems in urban design and land use, and in environmental planning. Occasional Friday meetings are required."
CY_PLAN,CY PLAN 249,Urban Design in Planning,3,"This seminar will focus on urban design in the planning process, the role of environmental surveys, methods of community involvement, problem identification, goal formulation and alternatives generation, environmental media and presentation, design guidelines and review, environmental evaluation and impact assessment. Case studies."
CY_PLAN,CY PLAN 250,The Spatial Politics of Land: A Transnational Perspective,3,"This course focuses on the deeply contested and political nature of land-use. It uses the spatial lens to situate land-use planning within wider processes of globalization. A central premise is to link land-use planning to property rights, and to ask: how is land, a spatially fixed resource with unique characteristics in each location, transformed into an asset for private ownership, an instrument of finance, a fungible asset; and what are"
CY_PLAN,CY PLAN C251,Environmental Planning and Regulation,3,"This course will examine emerging trends in environmental planning and policy and the basic regulatory framework for environmental planning encountered in the U.S. We will also relate the institutional and policy framework of California and the United States to other nations and emerging international institutions. The emphasis of the course will be on regulating ""residuals"" as they affect three media: air, water, and land."
CY_PLAN,CY PLAN 252,Land Use Controls,3,"An advanced course in implementation of land use and environmental controls. The theory, practice and impacts of zoning, growth management, land banking, development systems, and other techniques of land use control. Objective is to acquaint student with a range of regulatory techniques and the legal, administrative-political equity aspects of their implementation."
CY_PLAN,CY PLAN 253,Climate Justice Seminar,3,"This course engages with the historical contexts, governance processes, theories, scientific understandings, and politics of urban climate and environmental justice."
CY_PLAN,CY PLAN 254,Sustainable Communities,3,"This course examines and explores the concept of sustainable development at the community level. The course has three sections: (1) an introduction to the discourse on sustainable development; (2) an exploration of several leading attempts to incorporate sustainability principles into plans, planning, and urban design; (3) a comparative examination of several attempts to modify urban form and address the multiple goals (social, economic,"
CY_PLAN,CY PLAN 255,Urban Informatics and Visualization,3,"A hands-on data visualization course that trains students to analyze urban data, develop indicators, and create visualizations and maps using programming languages, open source tools, and public data."
CY_PLAN,CY PLAN C256,Healthy Cities,3,"Exploration of common origins of urban planning and public health, from why and how the fields separated and strategies to reconnect them, to addressing urban health inequities in the 21st century. Inquiry to influences of urban population health, analysis of determinants, and roles that city planning and public health agencies - at local and international level - have in research, and action aimed at improving urban health. Measures, analysis"
CY_PLAN,CY PLAN 257,Data Science for Human Mobility and Socio-technical Systems,4,"Techniques for analyzing individual daily activities and travels both at urban and at global scale. The course is designed for graduate students interested in methods to analyze human dynamics, and their interactions with the built and the natural environment. Course covers five units each of which is centered in a seminal research paper. Students learn to reproduce the results of the selected paper in the classroom via computer labs, and through"
CY_PLAN,CY PLAN C257H,Human Mobility and Network Science,3,"Techniques for analyzing individual daily activities and travels both at urban and at global scale. The course is designed for graduate students interested in methods to analyze human dynamics, and their interactions with the built and the natural environment. Course covers five units each of which is centered in a seminal research paper. Students learn to reproduce the results of the selected paper in the classroom via computer labs, and through"
CY_PLAN,CY PLAN 260,The Origins and Practice of Community Development,3,"Community development, broadly defined as efforts to improve the quality of life in low-income communities, has existed in multiple forms for centuries. However, in the 1950s and 1960s, the United States witnessed the development of a professionalized field of community development, encompassing a wide range of institutions, policies, and programs. This course provides students with an overview of the origins of the community development"
CY_PLAN,CY PLAN C261,Community Engagement and Public Participation in Planning Processes,3,"This course examines the theories, practices, and ethics of undertaking community engagement and public participation relative to planning processes. Students will learn about traditional forms of engagement and participation, while also testing newer theories and practices in the field."
CY_PLAN,CY PLAN 264,Blackness and the Politics of Space and Place,3,"What can we learn about how places are made and un-made when we focus on the lives and experiences of the Black people who live within them? Using insights from cultural anthropology, Black cultural studies, and geography, this course critically explores “Black geographies'' in an effort to understand the ways that race and space are mutually constituted in our modern world. Exploring both the joys and the pains of Black social and cultural life, living under regimes"
CY_PLAN,CY PLAN 268,Community Development Studio/Workshop,4,"Studio experience in analysis, policy advising, and implementation in an urban setting. Students will engage in group work for real clients (e.g., community-based organizations or local government agencies), culminating in a final report or proposal."
CY_PLAN,CY PLAN 280A,Doctoral Seminars: Research Design for the Ph.D,3,This course is designed for students working on their dissertation research plan and prospectus. Weekly writing assignments designed to work through each step of writing the prospectus from problem framing and theoretical framework to methodology. At least one oral presentation to the class is required of all students.
CY_PLAN,CY PLAN 280B,Doctoral Research and Writing Seminar,3,"Post-candidacy research and writing seminar, focused on completion of a dissertation."
CY_PLAN,CY PLAN 280C,Doctoral Seminars: Doctoral Colloquium,2,Presentation and discussion of research by Ph.D. students and faculty.
CY_PLAN,CY PLAN 281,Planning Theory,3,"This course examines the evolution of ideas about city planning as a form of specialized knowledge and theoretical reflection. It is a required course for PhD students in the Department of City and Regional Planning. Other students are welcome to take the course with instructor approval. The course aims to study the historical arc of planning theory, to engage major strains of social theory that have influenced planning, and to situate planning"
CY_PLAN,CY PLAN 284,Urban Theory,3,"The investigation of modern cities has presented great challenges for social theory. For over a century, scholars have debated about how to read and explain the modern industrial city. This course traces the main ways in which these debates have unfolded since the middle of the nineteenth century to the present. To follow these debates is to understand how scholars have struggled to make cities legible, to fix them as objects of analysis, and simultaneously"
CY_PLAN,CY PLAN 290,Topics in City and Metropolitan Planning,1,"Analysis of selected topics in city and metropolitan planning with emphasis on implications for planning practice and urban policy formation. In some semesters, optional five-week, 1-unit modules may be offered, taking advantage of guest visitors. Check department for modules at start of semester."
CY_PLAN,CY PLAN 291,Special Projects Studio in Planning,4,Studio on special projects in planning. Topics vary by semester.
CY_PLAN,CY PLAN 293,Capstone Writing Workshop,1,"This workshop is designed for Masters students in the Department of City & Regional Planning who are working on their professional report, client report, or thesis."
CY_PLAN,CY PLAN 295,Supervised Research in City and Regional Planning,1,"Supervised experience on a research project in urban or regional planning. Any combination of 295, 297 courses may be taken for a total of 6 units maximum towards the M.C.P. degree."
CY_PLAN,CY PLAN 297,Supervised Field Study in City and Regional Planning,1,"Supervised experience relative to specific aspects of practice in city or regional planning. Any combination of 295, 297 courses may be taken for a total of 6 units maximum toward the M.C.P. degree. A maximum of 3 units of 297 can be used for degree requirements."
CY_PLAN,CY PLAN 298,Group Studies,1,Topics to be announced at beginning of each semester. No more than 3 units may be taken in one section.
CY_PLAN,CY PLAN 299,Individual Study or Research,1,"Individual study or research program; must be worked out with instructor in advance of signing up for credits. Maximum number of individual study units (295, 297, 299) counted toward the M.C.P. degree credits is 9."
CY_PLAN,CY PLAN N299,Individual Study or Research,1,Individual study or research program; must be worked out with instructor in advance of signing up for credits. Maximum number of individual study credits counted toward the MCP degree is 9.
CY_PLAN,CY PLAN 375,Supervised Teaching in City and Regional Planning,1,Supervised teaching experience in courses related to planning. Course may not be applied toward the M.C.P. degree.
CY_PLAN,CY PLAN 399,Supervised Teaching,1,Professional courses for prospective teachers
CY_PLAN,CY PLAN 602,Individual Study for Doctoral Students,1,"Individual study in consultation with the major field adviser, intended to provide an opportunity for qualified students to prepare themselves for the various examinations required of candidates for the Ph.D. May not be used for unit or residence requirements for the doctoral degree. Students may earn 1-8 units of 602 per semester or 1-4 units per summer session. No student may accumulate more than a total of 16 units of 602."
CIV_ENG,CIV ENG 11,Engineered Systems and Sustainability,3,"An introduction to key engineered systems (e.g., energy, water supply, buildings, transportation) and their environmental impacts. Basic principles of environmental science needed to understand natural processes as they are influenced by human activities. Overview of concepts and methods of sustainability analysis. Critical evaluation of engineering approaches to address sustainability."
CIV_ENG,CIV ENG 24,Freshman Seminars,1,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley seminars are offered in all campus departments, and topics vary from department to department and semester to semester."
CIV_ENG,CIV ENG C30,Introduction to Solid Mechanics,3,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
CIV_ENG,CIV ENG W30,Introduction to Solid Mechanics,3,"A review of equilibrium for particles and rigid bodies. Application to truss structures. The concepts of deformation, strain, and stress. Equilibrium equations for a continuum. Elements of the theory of linear elasticity. The states of plane stress and plane strain. Solution of elementary elasticity problems (beam bending, torsion of circular bars). Euler buckling in elastic beams."
CIV_ENG,CIV ENG 60,Structure and Properties of Civil Engineering Materials,3,"Introduction to structure and properties of civil engineering materials such as asphalt, cements, concrete, geological materials (e.g. soil and rocks), steel, polymers, and wood. The properties range from elastic, plastic and fracture properties to porosity and thermal and environmental responses. Laboratory tests include evaluation of behavior of these materials under a wide range of conditions."
CIV_ENG,CIV ENG 70,Engineering Geology,3,Principles of physical and structural geology; the influence of geological factors on engineering works and the environment. Field trip.
CIV_ENG,CIV ENG 88B,Time Series Analysis: Sea Level Rise and Coastal Flooding,2,"In this course, we will pursue analysis of long-term records of coastal water levels in the context of sea level rise. We will cover the collection, evaluation, visualization and analysis of time series data using long-term records of sea levels from coastal sites around the world. Specific topics will include extreme events and distributions, frequency-based descriptions, averaging, filtering, harmonic analysis, trend identification, extrapolations, and decision-making"
CIV_ENG,CIV ENG C88,Data Science for Smart Cities,2,"Cities become more dependent on the data flows that connect infrastructures between themselves, and users to infrastructures. Design and operation of smart, efficient, and resilient cities nowadays require data science skills. This course provides an introduction to working with data generated within transportation systems, power grids, communication networks, as well as collected via crowd-sensing and remote sensing technologies, to build"
CIV_ENG,CIV ENG 92,Introduction to Civil and Environmental Engineering,1,A course designed to familiarize the entering student with the nature and scope of civil and environmental engineering and its component specialty areas.
CIV_ENG,CIV ENG 92A,Design for Future Infrastructure Systems,2,"Hands-on engineering design experience for creating future infrastructure systems. Intelligent infrastructure systems leverage data and computational to enhance sustainability and resilience for smart cities of the future. Student teams identify a challenge with current transportation, energy, water, waste, and/or the built infrastructure. Student teams design and prototype an innovation that solves this problem using maker resources, e.g. 3D printing,"
CIV_ENG,CIV ENG 92B,Cornerstone Structural Design,2,"This course introduces students to conceptual structural design, fabrication, and testing. The course aims to provide a hands-on structural engineering design experience and to inspire creativity. Students will learn the design process as well as fundamental principles of structural analysis. Student teams will be given a design challenge with performance objectives and practical constraints that emphasize sustainable design practices. Student"
CIV_ENG,CIV ENG 93,Engineering Data Analysis,3,Application of the concepts and methods of probability theory and statistical inference to CEE problems and data; graphical data analysis and sampling; elements of set theory; elements of probability theory; random variables and expectation; simulation; statistical inference. Use of computer programming languages for analysis of CEE-related data and problems. The course also introduces the student to various domains of
CIV_ENG,CIV ENG 98,Supervised Group Study and Research,1,Supervised group study and research by lower division students.
CIV_ENG,CIV ENG 99,Supervised Independent Study and Research,1,Supervised independent study by lower division students.
CIV_ENG,CIV ENG 100,Elementary Fluid Mechanics,4,"Fluid statics and dynamics, including laboratory experiments with technical reports. Fundamentals: integral and differential formulations of the conservation laws are solved in special cases such as boundary layers and pipe flow. Flow visualization and computation techniques are introduced using Matlab. Empirical equations are used for turbulent flows, drag, pumps, and open channels. Principles of empirical equations are also discussed: dimensional"
CIV_ENG,CIV ENG C103N,Terrestrial Hydrology,4,"A quantitative introduction to the hydrology of the terrestrial environment including lower atmosphere, watersheds, lakes, and streams. All aspects of the hydrologic cycle, including precipitation, infiltration, evapotranspiration, overland flow, streamflow, and groundwater flow. Chemistry and dating of groundwater and surface water. Development of quantitative insights through problem solving and use of simple models. This course requires"
CIV_ENG,CIV ENG 104,Planetary Boundaries and the Anthropocene,1,"This course aims to introduce students to the debates and discussions about the impact of increasing human resource consumption, increasing population, and increasing human prosperity on the planet’s environmental systems that support human societies."
CIV_ENG,CIV ENG 105,Design for Global Transformation,3,"Student teams will design strategies to address critical global challenges, such as climate change, biodiversity loss, pollution, and related issues, with the potential for transformational change. Project topics will vary. Students will explore global to local scales using principles and practices from design science, systems thinking, regenerative design, circular economy, environmental justice, science communication, data visualization"
CIV_ENG,CIV ENG C106,Air Pollution,3,"This course is an introduction to air pollution and the chemistry of earth's atmosphere. We will focus on the fundamental natural processes controlling trace gas and aerosol concentrations in the atmosphere, and how anthropogenic activity has affected those processes at the local, regional, and global scales. Specific topics include stratospheric ozone depletion, increasing concentrations of green house gasses, smog, and changes in the oxidation"
CIV_ENG,CIV ENG 107,Climate Change Mitigation,3,"Assessment of technological options for responding to climate change. Overview of climate-change science; sources, sinks, and atmospheric dynamics of greenhouse gases. Current systems for energy supply and use. Renewable energy resources, transport, storage, and transformation technologies. Technological opportunities for improving end-use energy efficiency. Recovery, sequestration, and disposal of greenhouse gases. Societal context for implementing"
CIV_ENG,CIV ENG 108,Climate Change Adaptation,3,"In this course, we will examine the local manifestation of global climate change and consider interventions and responses that anticipate long-term change in communities. The course will integrate environmental sciences, civil and environmental engineering, and the social sciences to both understand the impacts of global change and to quantitatively evaluate possible adaptation interventions. Upon completing the course, you will have a holistic"
CIV_ENG,CIV ENG 110,Water Systems of the Future,3,"This course will familiarize students with the complex infrastructure used to meet human water demands; competing uses and demands; water and wastewater infrastructure; technologies to enable recovery of water, energy, and other resources from wastewater; supply planning; trends and forecasting; costs, pricing and financing; environmental justice; methods to assess sustainability; regulatory, policy and institutional challenges; and water's"
CIV_ENG,CIV ENG 111,Environmental Engineering,3,"Quantitative overview of air and water contaminants and their engineering control. Elementary environmental chemistry and transport. Reactor models. Applications of fundamentals to selected current issues in water quality engineering, air quality engineering, air quality engineering, and hazardous waste management."
CIV_ENG,CIV ENG 111L,Water and Air Quality Laboratory,1,"This laboratory course is designed to accompany the lecture topics in Civil Engineering 111. Each laboratory activity will provide an opportunity to understand key concepts in water and air quality through hands-on experimentation. Laboratory topics include phase partitioning, acid/base reactions, redox reactions, biochemical oxygen demand, absorption, gas transfer, reactor hydraulics, particle destablization, disinfection, and combustion emis"
CIV_ENG,CIV ENG 112,Water & Wastewater Systems Design and Operation,3,"Water and wastewater systems serving communities are complex, large, and were built and expanded over many decades. The infrastructure includes a network of reservoirs, pipelines, pump stations, treatment plants, and other facilities that are connected to natural systems such as watersheds, rivers, groundwater basins, and bay and ocean environments. The planning, design, operation, and maintenance of urban water and wastewater systems require balancing"
CIV_ENG,CIV ENG 113,Ecological Engineering for Water Quality Improvement,3,"Ecological engineering approaches for treating contaminated water using natural processes to improve water quality. Emphasis on combining basic science and engineering approaches to understand the fundamental processes that govern the effectiveness of complex natural treatment systems. Applications include constructed wetlands, waste stabilization ponds, stormwater bioretention, decentralized wastewater management, ecological sanitation."
CIV_ENG,CIV ENG 114,Environmental Microbiology,3,"The scope of modern environmental engineering requires a fundamental knowledge of microbial processes with specific application to water, wastewater and the environmental fate of pollutants. This course will cover basic microbial physiology, biochemistry, metabolism, growth energetics and kinetics, ecology, pathogenicity, and genetics for application to both engineered and natural environmental systems."
CIV_ENG,CIV ENG 115,Water Chemistry,3,"The application of principles of inorganic, physical, and dilute solution equilibrium chemistry to aquatic systems, both in the aquatic environment and in water and wastewater treatment processes."
CIV_ENG,CIV ENG C116,Chemistry of Soils,3,Chemical mechanisms of reactions controlling the fate and mobility of nutrients and pollutants in soils. Role of soil minerals and humus in geochemical pathways of nutrient biovailability and pollutant detoxification. Chemical modeling of nutrient and pollutant soil chemistry. Applications to soil acidity and salinity.
CIV_ENG,CIV ENG 119,Data and Equity in Environmental Engineering,3,"Python analysis of datasets that are relevant to today's grand challenges in environmental engineering. Topics include, but are not limited to, human exposures, water resources, solid waste, water quality, energy equity, and coastline resilience. Discussion of datasets through the lens of socioeconomic equity and historical unintended consequences of environmental engineering decisions."
CIV_ENG,CIV ENG 120,Structural Engineering,3,"Introduction to design and analysis of structural systems. Loads and load placement. Proportioning of structural members in steel, reinforced concrete, and timber. Structural analysis theory. Hand and computer analysis methods, validation of results from computer analysis. Applications, including bridges, building frames, and long-span cable structures."
CIV_ENG,CIV ENG 122,Design of Steel Structures,3,"A first course in steel design focusing on basic principles. Introduction to materials and methods of steel construction; behavior and design of tension members, compression members, flexural members and beam-columns; design of welds, bolts, shear connections, and moment connections. Includes laboratory sessions to illustrate member behavior. By the end of the course students should be able to design simple steel structures subjected to static"
